"Name"
"Elodea canadensis"
"Elodea nuttallii"
"Lagarosiphon major"
"Stratiotes aloides"
"Vallisneria spiralis"
"Vallisneria australis"
"Najas major"
"Najas marina"
"Najas minor"
"Scheuchzeria palustris"
"Aponogeton distachyos"
"Triglochin palustris"
"Triglochin maritima"
"Zostera marina"
"Zostera marina"
"Zostera marina"
"Zostera noltei"
"Groenlandia densa"
"Potamogeton ×lintonii"
"Potamogeton ×salicifolius"
"Potamogeton ×cadburyae"
"Potamogeton ×cooperi"
"Potamogeton ×bennettii"
"Potamogeton ×sparganiifolius"
"Potamogeton ×nitens"
"Potamogeton ×schreberi"
"Potamogeton compressus"
"Potamogeton acutifolius"
"Potamogeton friesii"
"Potamogeton obtusifolius"
"Potamogeton trichoides"
"Potamogeton pusillus"
"Potamogeton berchtoldii"
"Potamogeton crispus"
"Potamogeton perfoliatus"
"Potamogeton alpinus"
"Potamogeton praelongus"
"Potamogeton lucens"
"Potamogeton gramineus"
"Potamogeton ×angustifolius"
"Potamogeton natans"
"Potamogeton coloratus"
"Potamogeton polygonifolius"
"Potamogeton nodosus"
"Stuckenia pectinata"
"Zannichellia palustris"
"Zannichellia palustris"
"Zannichellia palustris"
"Zannichellia palustris"
"Ruppia spiralis"
"Ruppia maritima"
"Narthecium ossifragum"
"Dioscorea communis"
"Trillium erectum"
"Paris quadrifolia"
"Colchicum autumnale"
"Colchicum byzantinum"
"Smilax rotundifolia"
"Smilax aspera"
"Erythronium dens-canis"
"Tulipa sylvestris"
"Tulipa gesneriana"
"Fritillaria meleagris"
"Fritillaria imperialis"
"Gagea minima"
"Gagea lutea"
"Gagea pratensis"
"Gagea spathacea"
"Gagea villosa"
"Gagea bohemica"
"Lilium auratum"
"Lilium candidum"
"Lilium lancifolium"
"Lilium speciosum"
"Lilium ×hollandicum"
"Lilium martagon"
"Lilium bulbiferum"
"Lilium bulbiferum"
"×Dactylodenia st-quintinii"
"×Dactylodenia lawalreei"
"×Dactylodenia legrandiana"
"×Gymnanacamptis anacamptis"
"Cypripedium calceolus"
"Cephalanthera rubra"
"Cephalanthera damasonium"
"Cephalanthera longifolia"
"Epipactis ×schmalhausenii"
"Epipactis ×pupplingensis"
"Epipactis ×stephensonii"
"Epipactis ×reinekei"
"Epipactis ×bruxellensis"
"Epipactis ×schulzei"
"Epipactis palustris"
"Epipactis palustris"
"Epipactis palustris"
"Epipactis atrorubens"
"Epipactis microphylla"
"Epipactis helleborine"
"Epipactis helleborine"
"Epipactis helleborine"
"Epipactis helleborine"
"Epipactis helleborine"
"Epipactis distans"
"Epipactis purpurata"
"Epipactis muelleri"
"Epipactis leptochila"
"Epipactis leptochila"
"Epipactis leptochila"
"Epipactis leptochila"
"Epipactis phyllanthes"
"Epipogium aphyllum"
"Spiranthes cernua"
"Spiranthes odorata"
"Spiranthes romanzoffiana"
"Spiranthes aestivalis"
"Spiranthes spiralis"
"Limodorum abortivum"
"Neottia nidus-avis"
"Neottia ovata"
"Neottia cordata"
"Goodyera repens"
"Hammarbya paludosa"
"Liparis loeselii"
"Liparis loeselii"
"Liparis loeselii"
"Corallorrhiza trifida"
"Herminium monorchis"
"Platanthera ×hybrida"
"Platanthera fornicata"
"Platanthera chlorantha"
"Platanthera bifolia"
"Pseudorchis albida"
"Gymnadenia conopsea"
"Gymnadenia densiflora"
"Gymnadenia odoratissima"
"Ophrys ×albertiana"
"Ophrys ×devenensis"
"Ophrys ×jeanpertii"
"Ophrys ×aschersonii"
"Ophrys ×hybrida"
"Ophrys insectifera"
"Ophrys aranifera"
"Ophrys virescens"
"Ophrys apifera"
"Ophrys fuciflora"
"Ophrys scolopax"
"Himantoglossum hircinum"
"Himantoglossum hircinum"
"Himantoglossum hircinum"
"Himantoglossum robertianum"
"Neotinea ustulata"
"Neotinea tridentata"
"Orchis ×spuria"
"Orchis ×meilsheimeri"
"Orchis ×bispuria"
"Orchis ×bergonii"
"Orchis ×hybrida"
"Orchis ×beyrichii"
"Orchis ×angusticruris"
"Orchis ×wilmsii"
"Orchis anthropophora"
"Orchis purpurea"
"Orchis simia"
"Orchis militaris"
"Orchis mascula"
"Anacamptis pyramidalis"
"Anacamptis coriophora"
"Anacamptis morio"
"Anacamptis laxiflora"
"Anacamptis palustris"
"Dactylorhiza sambucina"
"Dactylorhiza ×paridaeniana"
"Dactylorhiza ×kerneriorum"
"Dactylorhiza ×transiens"
"Dactylorhiza ×braunii"
"Dactylorhiza ×grandis"
"Dactylorhiza ×carnea"
"Dactylorhiza ×aschersoniana"
"Dactylorhiza ×wintoni"
"Dactylorhiza ×vermeuleniana"
"Dactylorhiza ×hallii"
"Dactylorhiza ×wiefelspuetziana"
"Dactylorhiza ×godferyana"
"Dactylorhiza incarnata"
"Dactylorhiza incarnata"
"Dactylorhiza incarnata"
"Dactylorhiza incarnata"
"Dactylorhiza incarnata"
"Dactylorhiza traunsteineri"
"Dactylorhiza praetermissa"
"Dactylorhiza praetermissa"
"Dactylorhiza praetermissa"
"Dactylorhiza sphagnicola"
"Dactylorhiza elata"
"Dactylorhiza elata"
"Dactylorhiza majalis"
"Dactylorhiza fuchsii"
"Dactylorhiza maculata"
"Dactylorhiza maculata"
"Dactylorhiza maculata"
"Dactylorhiza maculata"
"Dactylorhiza viridis"
"Gladiolus italicus"
"Crocus flavus"
"Crocus angustifolius"
"Crocus ×stellaris"
"Crocus chrysanthus"
"Crocus vernus"
"Crocus tommasinianus"
"Iris ensata"
"Iris ×hollandica"
"Iris pallida"
"Iris sibirica"
"Iris xiphium"
"Iris pumila"
"Iris pseudacorus"
"Iris germanica"
"Iris foetidissima"
"Sisyrinchium montanum"
"Sisyrinchium angustifolium"
"Sisyrinchium californicum"
"Sisyrinchium striatum"
"Crocosmia ×crocosmiiflora"
"Crocosmia aurea"
"Crocosmia pottsii"
"Kniphofia ×praecox"
"Asphodelus tenuifolius"
"Hemerocallis fulva"
"Hemerocallis lilioasphodelus"
"Ipheion uniflorum"
"Allium cepa"
"Allium fistulosum"
"Allium porrum"
"Allium ampeloprasum"
"Allium sativum"
"Allium cristophii"
"Allium hollandicum"
"Allium karataviense"
"Allium macleanii"
"Allium moly"
"Allium lusitanicum"
"Allium nigrum"
"Allium pendulinum"
"Allium ramosum"
"Allium roseum"
"Allium triquetrum"
"Allium zebdanense"
"Allium schoenoprasum"
"Allium sphaerocephalon"
"Allium vineale"
"Allium oleraceum"
"Allium carinatum"
"Allium scorodoprasum"
"Allium rotundum"
"Allium angulosum"
"Allium ursinum"
"Allium paradoxum"
"Allium paradoxum"
"Narcissus ×incomparabilis"
"Narcissus obvallaris"
"Narcissus tazetta"
"Narcissus ×cyclazetta"
"Narcissus pseudonarcissus"
"Narcissus pseudonarcissus"
"Narcissus pseudonarcissus"
"Narcissus poeticus"
"Galanthus nivalis"
"Galanthus nivalis"
"Galanthus nivalis"
"Galanthus elwesii"
"Galanthus plicatus"
"Galanthus woronowii"
"Leucojum vernum"
"Leucojum aestivum"
"Hyacinthus orientalis"
"Agave americana"
"Camassia leichtlinii"
"Camassia leichtlinii"
"Chlorophytum comosum"
"Danae racemosa"
"Liriope muscari"
"Ophiopogon jaburan"
"Pseudomuscari azureum"
"Puschkinia scilloides"
"Triteleia laxa"
"Yucca gloriosa"
"Yucca gloriosa"
"Yucca gloriosa"
"Yucca flaccida"
"Yucca filamentosa"
"Othocallis siberica"
"Chionodoxa sardensis"
"Chionodoxa forbesii"
"Ruscus aculeatus"
"Asparagus officinalis"
"Asparagus officinalis"
"Asparagus officinalis"
"Convallaria majalis"
"Polygonatum ×hybridum"
"Polygonatum verticillatum"
"Polygonatum odoratum"
"Polygonatum multiflorum"
"Maianthemum bifolium"
"Maianthemum dilatatum"
"Maianthemum stellatum"
"Ornithogalum umbellatum"
"Ornithogalum divergens"
"Honorius nutans"
"Honorius boucheanus"
"Loncomelos pyrenaicum"
"Loncomelos brevistylus"
"Loncomelos narbonense"
"Scilla bifolia"
"Scilla luciliae"
"Hyacinthoides italica"
"Hyacinthoides non-scripta"
"Hyacinthoides hispanica"
"Hyacinthoides ×massartiana"
"Muscari latifolium"
"Muscari comosum"
"Muscari neglectum"
"Muscari botryoides"
"Muscari armeniacum"
"Anthericum liliago"
"Anthericum ramosum"
"Tradescantia virginiana"
"Tradescantia fluminensis"
"Commelina coelestis"
"Commelina communis"
"Commelina diffusa"
"Commelina obliqua"
"Tinantia erecta"
"Pontederia cordata"
"Eichhornia crassipes"
"Canna ×generalis"
"Sparganium erectum"
"Sparganium erectum"
"Sparganium erectum"
"Sparganium erectum"
"Sparganium erectum"
"Sparganium emersum"
"Sparganium natans"
"Sparganium angustifolium"
"Typha ×glauca"
"Typha ×provincialis"
"Typha domingensis"
"Typha minima"
"Typha latifolia"
"Typha angustifolia"
"Typha laxmannii"
"Luzula ×borreri"
"Luzula nivea"
"Luzula pilosa"
"Luzula forsteri"
"Luzula luzuloides"
"Luzula luzuloides"
"Luzula luzuloides"
"Luzula sylvatica"
"Luzula campestris"
"Luzula multiflora"
"Luzula congesta"
"Luzula pallescens"
"Juncus acuminatus"
"Juncus xiphioides"
"Juncus striatus"
"Juncus ×langei"
"Juncus ×montserratensis"
"Juncus ×kern-reichgeltii"
"Juncus ×diffusus"
"Juncus squarrosus"
"Juncus tenuis"
"Juncus tenuis"
"Juncus tenuis"
"Juncus tenuis"
"Juncus tenuis"
"Juncus compressus"
"Juncus gerardii"
"Juncus bufonius"
"Juncus bufonius"
"Juncus bufonius"
"Juncus bufonius"
"Juncus ranarius"
"Juncus foliosus"
"Juncus tenageia"
"Juncus sphaerocarpus"
"Juncus inflexus"
"Juncus conglomeratus"
"Juncus conglomeratus"
"Juncus effusus"
"Juncus effusus"
"Juncus filiformis"
"Juncus balticus"
"Juncus maritimus"
"Juncus capitatus"
"Juncus pygmaeus"
"Juncus subnodulosus"
"Juncus acutiflorus"
"Juncus articulatus"
"Juncus anceps"
"Juncus anceps"
"Juncus anceps"
"Juncus alpinoarticulatus"
"Juncus canadensis"
"Juncus bulbosus"
"Juncus bulbosus"
"Juncus bulbosus"
"Juncus ensifolius"
"Dulichium arundinaceum"
"Eriophorum vaginatum"
"Eriophorum angustifolium"
"Eriophorum latifolium"
"Eriophorum gracile"
"Eleocharis acicularis"
"Eleocharis quinqueflora"
"Eleocharis ovata"
"Eleocharis obtusa"
"Eleocharis engelmannii"
"Eleocharis multicaulis"
"Eleocharis uniglumis"
"Eleocharis palustris"
"Eleocharis palustris"
"Eleocharis palustris"
"Eleocharis mamillata"
"Blysmus compressus"
"Blysmus rufus"
"Isolepis fluitans"
"Isolepis setacea"
"Isolepis cernua"
"Trichophorum cespitosum"
"Trichophorum cespitosum"
"Trichophorum cespitosum"
"Trichophorum alpinum"
"Bolboschoenus glaucus"
"Bolboschoenus maritimus"
"Bolboschoenus laticarpus"
"Bolboschoenus yagara"
"Bolboschoenus planiculmis"
"Scirpus sylvaticus"
"Scirpus atrovirens"
"Scirpus georgianus"
"Scirpus hattorianus"
"Scirpus cyperinus"
"Scirpoides holoschoenus"
"Scirpoides holoschoenus"
"Scirpoides holoschoenus"
"Schoenoplectus ×carinatus"
"Schoenoplectus ×kuekenthalianus"
"Schoenoplectus mucronatus"
"Schoenoplectus supinus"
"Schoenoplectus bucharicus"
"Schoenoplectus pungens"
"Schoenoplectus triqueter"
"Schoenoplectus lacustris"
"Schoenoplectus tabernaemontani"
"Cyperus congestus"
"Cyperus cyperoides"
"Cyperus involucratus"
"Cyperus rotundus"
"Cyperus fuscus"
"Cyperus flavescens"
"Cyperus esculentus"
"Cyperus esculentus"
"Cyperus longus"
"Cyperus longus"
"Cyperus longus"
"Cyperus eragrostis"
"Rhynchospora alba"
"Rhynchospora fusca"
"Cladium mariscus"
"Schoenus nigricans"
"Schoenus ferrugineus"
"Carex grayi"
"Carex loliacea"
"Carex melanostachya"
"Carex morrowii"
"Carex muskingumensis"
"Carex scoparia"
"Carex secalina"
"Carex ×rotae"
"Carex ×ohmuelleriana"
"Carex ×pseudoaxillaris"
"Carex ×senayana"
"Carex ×ploettneriana"
"Carex ×ilseana"
"Carex ×boenninghausiana"
"Carex dioica"
"Carex davalliana"
"Carex pauciflora"
"Carex pulicaris"
"Carex bohemica"
"Carex disticha"
"Carex divisa"
"Carex arenaria"
"Carex arenaria"
"Carex colchica"
"Carex pseudobrizoides"
"Carex brizoides"
"Carex praecox"
"Carex praecox"
"Carex praecox"
"Carex vulpinoidea"
"Carex vulpina"
"Carex otrubae"
"Carex otrubae"
"Carex spicata"
"Carex muricata"
"Carex pairae"
"Carex divulsa"
"Carex leersii"
"Carex nordica"
"Carex paniculata"
"Carex diandra"
"Carex appropinquata"
"Carex remota"
"Carex leporina"
"Carex leporina"
"Carex crawfordii"
"Carex canescens"
"Carex echinata"
"Carex elongata"
"Carex ×prolixa"
"Carex ×elytroides"
"Carex ×alsatica"
"Carex ×fulva"
"Carex ×turfosa"
"Carex ×xanthocarpa"
"Carex ×ruedtii"
"Carex ×leutzii"
"Carex ×evoluta"
"Carex ×pseudomairei"
"Carex ×timmiana"
"Carex ×beckmanniana"
"Carex depauperata"
"Carex strigosa"
"Carex sylvatica"
"Carex pseudocyperus"
"Carex laevigata"
"Carex distans"
"Carex distans"
"Carex distans"
"Carex binervis"
"Carex hostiana"
"Carex punctata"
"Carex extensa"
"Carex mairei"
"Carex flava"
"Carex lepidocarpa"
"Carex demissa"
"Carex viridula"
"Carex viridula"
"Carex viridula"
"Carex hordeistichos"
"Carex hirta"
"Carex hirta"
"Carex lasiocarpa"
"Carex rostrata"
"Carex vesicaria"
"Carex acutiformis"
"Carex acutiformis"
"Carex riparia"
"Carex elata"
"Carex trinervis"
"Carex nigra"
"Carex nigra"
"Carex acuta"
"Carex caryophyllea"
"Carex umbrosa"
"Carex ericetorum"
"Carex montana"
"Carex tomentosa"
"Carex pilulifera"
"Carex humilis"
"Carex alba"
"Carex digitata"
"Carex ornithopoda"
"Carex buxbaumii"
"Carex pendula"
"Carex pendula"
"Carex pendula"
"Carex pilosa"
"Carex flacca"
"Carex halleriana"
"Carex pallescens"
"Carex limosa"
"Carex panicea"
"Cortaderia selloana"
"Nassella tenuissima"
"Cenchrus flaccidus"
"Cenchrus purpurascens"
"Thamnocalamus spathaceus"
"Pleioblastus pumilus"
"×Pseudosasa japonica"
"Sasa palmata"
"×Sasinaria ramosa"
"×Semiarundinaria fastuosa"
"Achnatherum calamagrostis"
"Aegilops cylindrica"
"Aegilops geniculata"
"Agropyron cristatum"
"Agropyron cristatum"
"Aristida congesta"
"Arundo donax"
"Avellinia festucoides"
"Axonopus fissifolius"
"Beckmannia syzigachne"
"Cenchrus echinatus"
"Cenchrus incertus"
"Cenchrus longispinus"
"Cenchrus longisetus"
"Cenchrus petiolaris"
"Chloris divaricata"
"Chloris pectinata"
"Chloris pycnothrix"
"Chloris truncata"
"Chloris ventricosa"
"Chloris virgata"
"Coix lacryma-jobi"
"Crithopsis delileana"
"Dactyloctenium aegyptium"
"Dactyloctenium radulans"
"Dasypyrum villosum"
"Dichanthelium clandestinum"
"Dinebra retroflexa"
"Leptochloa fusca"
"Leptochloa fusca"
"Leptochloa fusca"
"Enteropogon acicularis"
"Eremopoa persica"
"Eremopyrum bonaepartis"
"Eriochloa pseudoacrotricha"
"Eriochloa villosa"
"Gastridium ventricosum"
"Hainardia cylindrica"
"Helictotrichon sempervirens"
"Muhlenbergia mexicana"
"Oloptum miliaceum"
"Oryza sativa"
"Paspalum dilatatum"
"Paspalum distichum"
"Paspalum notatum"
"Paspalum paniculatum"
"Schmidtia kalahariensis"
"Stipa verticillata"
"Taeniatherum caput-medusae"
"Trisetaria panicea"
"Urochloa mutica"
"Urochloa panicoides"
"Urochloa plantaginea"
"Urochloa platyphylla"
"Urochloa ramosa"
"Zingeria pisidica"
"Zizania latifolia"
"Zea mays"
"Panicum antidotale"
"Panicum coloratum"
"Panicum hirticaule"
"Panicum virgatum"
"Panicum miliaceum"
"Panicum miliaceum"
"Panicum miliaceum"
"Panicum miliaceum"
"Panicum capillare"
"Panicum barbipulvinatum"
"Panicum hillmanii"
"Panicum schinzii"
"Panicum dichotomiflorum"
"Panicum dichotomiflorum"
"Panicum dichotomiflorum"
"Echinochloa colona"
"Echinochloa esculenta"
"Echinochloa frumentacea"
"Echinochloa crus-galli"
"Echinochloa inundata"
"Echinochloa oryzicola"
"Echinochloa crus-galli"
"Echinochloa muricata"
"Echinochloa muricata"
"Echinochloa muricata"
"Echinochloa muricata"
"Setaria adhaerens"
"Setaria parviflora"
"Setaria sphacelata"
"Setaria pumila"
"Setaria verticillata"
"Setaria verticillata"
"Setaria verticillata"
"Setaria viridis"
"Setaria viridis"
"Setaria viridis"
"Setaria viridis"
"Setaria italica"
"Setaria italica"
"Setaria italica"
"Setaria faberi"
"Digitaria abyssinica"
"Digitaria ciliaris"
"Digitaria ciliaris"
"Digitaria ciliaris"
"Digitaria violascens"
"Digitaria sanguinalis"
"Digitaria sanguinalis"
"Digitaria sanguinalis"
"Digitaria sanguinalis"
"Digitaria sanguinalis"
"Digitaria ischaemum"
"Digitaria aequiglumis"
"Bothriochloa ischaemum"
"Miscanthus ×giganteus"
"Miscanthus sacchariflorus"
"Miscanthus sinensis"
"Sorghum bicolor"
"Sorghum halepense"
"Cynodon dactylon"
"Cynodon incompletus"
"Eleusine indica"
"Eleusine indica"
"Eleusine indica"
"Eleusine coracana"
"Eleusine coracana"
"Eleusine tristachya"
"Spartina pectinata"
"Spartina pectinata"
"Spartina maritima"
"Spartina ×townsendii"
"Spartina anglica"
"Spartina alterniflora"
"Sporobolus indicus"
"Sporobolus africanus"
"Sporobolus elongatus"
"Eragrostis albensis"
"Eragrostis papposa"
"Eragrostis parviflora"
"Eragrostis pectinacea"
"Eragrostis pilosa"
"Eragrostis tef"
"Eragrostis tef"
"Eragrostis minor"
"Eragrostis cilianensis"
"Eragrostis curvula"
"Eragrostis multicaulis"
"Eragrostis pilosa"
"Eragrostis mexicana"
"Eragrostis neomexicana"
"Eragrostis virescens"
"Eragrostis virescens"
"Eragrostis virescens"
"Tragus racemosus"
"Tragus australianus"
"Leersia oryzoides"
"Phragmites australis"
"Danthonia decumbens"
"Danthonia decumbens"
"Molinia caerulea"
"Molinia caerulea"
"Molinia caerulea"
"Nardus stricta"
"Milium effusum"
"Milium vernale"
"Milium vernale"
"Phalaris angusta"
"Phalaris aquatica"
"Phalaris brachystachys"
"Phalaris minor"
"Phalaris paradoxa"
"Phalaris paradoxa"
"Phalaris paradoxa"
"Phalaris arundinacea"
"Phalaris arundinacea"
"Phalaris canariensis"
"Anthoxanthum odoratum"
"Anthoxanthum odoratum"
"Anthoxanthum odoratum"
"Anthoxanthum aristatum"
"Hierochloe odorata"
"Koeleria pyramidata"
"Koeleria pyramidata"
"Koeleria pyramidata"
"Koeleria macrantha"
"Koeleria arenaria"
"Rostraria cristata"
"Holcus ×hybridus"
"Holcus lanatus"
"Holcus mollis"
"Corynephorus canescens"
"Gaudinia fragilis"
"Ventenata dubia"
"Arrhenatherum elatius"
"Arrhenatherum elatius"
"Arrhenatherum elatius"
"Trisetum flavescens"
"Avenula pubescens"
"Helictochloa bromoides"
"Helictochloa pratensis"
"Avena nuda"
"Avena ×marquandii"
"Avena fatua"
"Avena fatua"
"Avena fatua"
"Avena sterilis"
"Avena sterilis"
"Avena sterilis"
"Avena barbata"
"Avena strigosa"
"Avena sativa"
"Avena sativa"
"Avena sativa"
"Deschampsia cespitosa"
"Deschampsia cespitosa"
"Deschampsia cespitosa"
"Deschampsia cespitosa"
"Avenella flexuosa"
"Aristavena setacea"
"Aira praecox"
"Aira caryophyllea"
"Aira multiculmis"
"Mibora minima"
"Parapholis strigosa"
"Parapholis incurva"
"Leymus arenarius"
"Elymus caninus"
"Elytrigia canadensis"
"Elytrigia ×duvalii"
"Elytrigia ×oliveri"
"Elytrigia ×laxa"
"Elytrigia obtusiflora"
"Elytrigia elongata"
"Elytrigia juncea"
"Elytrigia juncea"
"Elytrigia repens"
"Elytrigia acuta"
"Elytrigia campestris"
"Lolium persicum"
"Lolium rigidum"
"Lolium subulatum"
"Lolium ×boucheanum"
"Lolium perenne"
"Lolium multiflorum"
"Lolium temulentum"
"Lolium temulentum"
"Lolium temulentum"
"Lolium remotum"
"Secale cereale"
"Secale ×derzhavinii"
"Secale strictum"
"Triticum compactum"
"Triticum dicoccon"
"Triticum durum"
"Triticum monococcum"
"Triticum spelta"
"Triticum turgidum"
"Triticum aestivum"
"Hordeum geniculatum"
"Hordeum ×jungblutii"
"Hordeum murinum"
"Hordeum murinum"
"Hordeum murinum"
"Hordeum murinum"
"Hordeum marinum"
"Hordeum secalinum"
"Hordeum jubatum"
"Hordeum distichon"
"Hordeum distichon"
"Hordeum distichon"
"Hordeum vulgare"
"Hordeum vulgare"
"Hordeum vulgare"
"Hordelymus europaeus"
"Ammophila arenaria"
"×Calammophila baltica"
"Alopecurus ×haussknechtianus"
"Alopecurus ×plettkei"
"Alopecurus ×brachystylus"
"Alopecurus rendlei"
"Alopecurus myosuroides"
"Alopecurus pratensis"
"Alopecurus bulbosus"
"Alopecurus geniculatus"
"Alopecurus aequalis"
"Polypogon ×adscendens"
"Polypogon fugax"
"Polypogon monspeliensis"
"Polypogon maritimus"
"Polypogon viridis"
"×Agropogon lutosus"
"Lagurus ovatus"
"Phleum exaratum"
"Phleum paniculatum"
"Phleum subulatum"
"Phleum arenarium"
"Phleum phleoides"
"Phleum pratense"
"Phleum nodosum"
"Crypsis alopecuroides"
"Crypsis schoenoides"
